"first_name","last_name","email","address","address2","city","postal_code","country","customer_is_active","total_revenue_from_customer"
"Alvin","Deloach","alvin.deloach@sakilacustomer.org","1447 Chatsworth Place","","Cuauhtmoc","41545","Mexico","Yes","134.72"
"Amanda","Carter","amanda.carter@sakilacustomer.org","671 Graz Street","","Nador","94399","Morocco","Yes","105.74"
"Amber","Dixon","amber.dixon@sakilacustomer.org","1029 Dzerzinsk Manor","","Touliu","57519","Taiwan","Yes","113.73"
"Amy","Lopez","amy.lopez@sakilacustomer.org","176 Mandaluyong Place","","Jhansi","65213","India","Yes","112.74"
"Ana","Bradley","ana.bradley@sakilacustomer.org","682 Garden Grove Place","","Memphis","67497","United States","Yes","167.67"
"Andre","Rapp","andre.rapp@sakilacustomer.org","568 Dhule (Dhulia) Loop","","Coquimbo","92568","Chile","Yes","110.74"
"Andrea","Henderson","andrea.henderson@sakilacustomer.org","320 Baiyin Parkway","","Mahajanga","37307","Madagascar","Yes","92.79"
"Andrew","Purdy","andrew.purdy@sakilacustomer.org","431 Szkesfehrvr Avenue","","Baku","57828","Azerbaijan","Yes","89.78"
"Andy","Vanhorn","andy.vanhorn@sakilacustomer.org","966 Asuncin Way","","Huejutla de Reyes","62703","Mexico","Yes","112.76"
"Angel","Barclay","angel.barclay@sakilacustomer.org","496 Celaya Drive","","Ueda","90797","Japan","Yes","99.72"
"Angela","Hernandez","angela.hernandez@sakilacustomer.org","786 Aurora Avenue","","Shimonoseki","65750","Japan","Yes","138.65"
"Anita","Morales","anita.morales@sakilacustomer.org","788 Atinsk Street","","Hubli-Dharwad","81691","India","Yes","59.86"
"Ann","Evans","ann.evans@sakilacustomer.org","909 Garland Manor","","Niznekamsk","69367","Russian Federation","Yes","67.86"
"Anna","Hill","anna.hill@sakilacustomer.org","127 Purnea (Purnia) Manor","","Alessandria","79388","Italy","Yes","88.80"
"Anne","Powell","anne.powell@sakilacustomer.org","1557 Ktahya Boulevard","","Bradford","88002","United Kingdom","Yes","72.79"
"Annette","Olson","annette.olson@sakilacustomer.org","431 Xiangtan Avenue","","Allappuzha (Alleppey)","4854","India","Yes","98.76"
"Annie","Russell","annie.russell@sakilacustomer.org","1599 Plock Drive","","Tete","71986","Mozambique","Yes","58.82"
"Anthony","Schwab","anthony.schwab@sakilacustomer.org","1892 Nabereznyje Telny Lane","","Tafuna","28396","American Samoa","Yes","47.85"
"Antonio","Meek","antonio.meek@sakilacustomer.org","1190 0 Place","","Bag","10417","Brazil","Yes","73.85"
"April","Burns","april.burns@sakilacustomer.org","483 Ljubertsy Parkway","","Dundee","60562","United Kingdom","Yes","74.77"
"Arlene","Harvey","arlene.harvey@sakilacustomer.org","1014 Loja Manor","","Ambattur","66851","India","Yes","111.76"
"Armando","Gruber","armando.gruber@sakilacustomer.org","869 Shikarpur Way","","Southport","57380","United Kingdom","Yes","72.82"
"Arnold","Havens","arnold.havens@sakilacustomer.org","1176 Southend-on-Sea Manor","","Santa Rosa","81651","Philippines","Yes","161.68"
"Arthur","Simpkins","arthur.simpkins@sakilacustomer.org","1157 Nyeri Loop","","Maikop","56380","Russian Federation","Yes","145.70"
"Ashley","Richardson","ashley.richardson@sakilacustomer.org","1214 Hanoi Way","","Lincoln","67055","United States","Yes","112.75"
"Audrey","Ray","audrey.ray@sakilacustomer.org","1010 Klerksdorp Way","","Graz","6802","Austria","Yes","111.73"
"Austin","Cintron","austin.cintron@sakilacustomer.org","1325 Fukuyama Street","","Tieli","27107","China","Yes","78.82"
"Barbara","Jones","barbara.jones@sakilacustomer.org","1566 Inegl Manor","","Myingyan","53561","Myanmar","Yes","81.78"
"Barry","Lovelace","barry.lovelace@sakilacustomer.org","1836 Korla Parkway","","Kitwe","55405","Zambia","Yes","121.70"
"Beatrice","Arnold","beatrice.arnold@sakilacustomer.org","1877 Ezhou Lane","","Udaipur","63337","India","Yes","109.77"
"Becky","Miles","becky.miles@sakilacustomer.org","1993 Tabuk Lane","","Tambaram","64221","India","Yes","80.78"
"Ben","Easter","ben.easter@sakilacustomer.org","886 Tonghae Place","","Kamyin","19450","Russian Federation","No","102.77"
"Benjamin","Varney","benjamin.varney@sakilacustomer.org","817 Laredo Avenue","","Guadalajara","77449","Mexico","Yes","89.78"
"Bernard","Colby","bernard.colby@sakilacustomer.org","495 Bhimavaram Lane","","Dhule (Dhulia)","3","India","Yes","83.79"
"Bernice","Willis","bernice.willis@sakilacustomer.org","29 Pyongyang Loop","","Batman","47753","Turkey","Yes","133.70"
"Bertha","Ferguson","bertha.ferguson@sakilacustomer.org","1367 Yantai Manor","","Ondo","21294","Nigeria","Yes","89.77"
"Bessie","Morrison","bessie.morrison@sakilacustomer.org","1926 Gingoog Street","","Syrakusa","22824","Italy","Yes","127.73"
"Beth","Franklin","beth.franklin@sakilacustomer.org","1149 A Corua (La Corua) Boulevard","","Haiphong","95824","Vietnam","Yes","95.76"
"Betty","White","betty.white@sakilacustomer.org","770 Bydgoszcz Avenue","","Citrus Heights","16266","United States","Yes","96.77"
"Beverly","Brooks","beverly.brooks@sakilacustomer.org","1947 Poos de Caldas Boulevard","","Chiayi","60951","Taiwan","Yes","89.78"
"Bill","Gavin","bill.gavin@sakilacustomer.org","1485 Bratislava Place","","Rockford","83183","United States","Yes","106.73"
"Billie","Horton","billie.horton@sakilacustomer.org","457 Tongliao Loop","","Inegl","56254","Turkey","Yes","71.79"
"Billy","Poulin","billy.poulin@sakilacustomer.org","1061 Ede Avenue","","Cabuyao","57810","Philippines","Yes","123.71"
"Bob","Pfeiffer","bob.pfeiffer@sakilacustomer.org","415 Pune Avenue","","Xintai","44274","China","Yes","82.78"
"Bobbie","Craig","bobbie.craig@sakilacustomer.org","86 Higashiosaka Lane","","Valle de Santiago","33768","Mexico","Yes","52.81"
"Bobby","Boudreau","bobby.boudreau@sakilacustomer.org","1368 Maracabo Boulevard","","South Hill","32716","Anguilla","Yes","99.68"
"Bonnie","Hughes","bonnie.hughes@sakilacustomer.org","1942 Ciparay Parkway","","Cheju","82624","South Korea","Yes","84.80"
"Brad","Mccurdy","brad.mccurdy@sakilacustomer.org","608 Birgunj Parkway","","Chungho","400","Taiwan","Yes","100.76"
"Bradley","Motley","bradley.motley@sakilacustomer.org","1596 Acua Parkway","","Purnea (Purnia)","70425","India","Yes","125.74"
"Brandon","Huey","brandon.huey@sakilacustomer.org","1912 Emeishan Drive","","Balikesir","33050","Turkey","Yes","145.64"
"Brandy","Graves","brandy.graves@sakilacustomer.org","1944 Bamenda Way","","Warren","24645","United States","Yes","94.77"
"Brenda","Wright","brenda.wright@sakilacustomer.org","33 Gorontalo Way","","Kamarhati","30348","India","Yes","104.74"
"Brent","Harkins","brent.harkins@sakilacustomer.org","319 Plock Parkway","","Sultanbeyli","26101","Turkey","Yes","104.78"
"Brett","Cornwell","brett.cornwell@sakilacustomer.org","1197 Sokoto Boulevard","","Siliguri (Shiliguri)","87687","India","Yes","130.70"
"Brian","Wyman","brian.wyman@sakilacustomer.org","1769 Iwaki Lane","","Bydgoszcz","25787","Poland","Yes","27.93"
"Brittany","Riley","brittany.riley@sakilacustomer.org","140 Chiayi Parkway","","Sumy","38982","Ukraine","Yes","151.73"
"Bruce","Schwarz","bruce.schwarz@sakilacustomer.org","1565 Tangail Manor","","Okinawa","45750","Japan","Yes","92.79"
"Bryan","Hardison","bryan.hardison@sakilacustomer.org","530 Lausanne Lane","","Dallas","11067","United States","Yes","105.76"
"Byron","Box","byron.box@sakilacustomer.org","521 San Juan Bautista Tuxtepec Place","","Zhezqazghan","95093","Kazakstan","Yes","117.72"
"Calvin","Martel","calvin.martel@sakilacustomer.org","138 Caracas Boulevard","","Maracabo","16790","Venezuela","Yes","111.77"
"Carl","Artis","carl.artis@sakilacustomer.org","1628 Nagareyama Lane","","San Lorenzo","60079","Paraguay","Yes","104.79"
"Carla","Gutierrez","carla.gutierrez@sakilacustomer.org","642 Nador Drive","","Bhusawal","3924","India","Yes","103.74"
"Carlos","Coughlin","carlos.coughlin@sakilacustomer.org","97 Mogiljov Lane","","Bhavnagar","89294","India","Yes","96.79"
"Carmen","Owens","carmen.owens@sakilacustomer.org","1378 Alvorada Avenue","","Caracas","75834","Venezuela","Yes","94.75"
"Carol","Garcia","carol.garcia@sakilacustomer.org","320 Brest Avenue","","Kaduna","43331","Nigeria","Yes","78.81"
"Carole","Barnett","carole.barnett@sakilacustomer.org","1980 Kamjanets-Podilskyi Street","","Peoria","89502","United States","Yes","92.75"
"Caroline","Bowman","caroline.bowman@sakilacustomer.org","1309 Weifang Street","","Tallahassee","57338","United States","Yes","37.87"
"Carolyn","Perez","carolyn.perez@sakilacustomer.org","1632 Bislig Avenue","","Pak Kret","61117","Thailand","Yes","111.71"
"Carrie","Porter","carrie.porter@sakilacustomer.org","1854 Tieli Street","","Liaocheng","15819","China","Yes","124.66"
"Casey","Mena","casey.mena@sakilacustomer.org","539 Hami Way","","Tokat","52196","Turkey","Yes","130.68"
"Cassandra","Walters","cassandra.walters@sakilacustomer.org","920 Kumbakonam Loop","","Salinas","75090","United States","Yes","96.79"
"Catherine","Campbell","catherine.campbell@sakilacustomer.org","46 Pjatigorsk Lane","","Moscow","23616","Russian Federation","Yes","131.69"
"Cathy","Spencer","cathy.spencer@sakilacustomer.org","1287 Xiangfan Boulevard","","Kakamigahara","57844","Japan","Yes","122.71"
"Cecil","Vines","cecil.vines@sakilacustomer.org","548 Uruapan Street","","London","35653","United Kingdom","Yes","115.74"
"Chad","Carbone","chad.carbone@sakilacustomer.org","1948 Bayugan Parkway","","Katihar","60622","India","Yes","86.76"
"Charlene","Alvarez","charlene.alvarez@sakilacustomer.org","1842 Luzinia Boulevard","","Zanzibar","94420","Tanzania","Yes","109.75"
"Charles","Kowalski","charles.kowalski@sakilacustomer.org","715 So Bernardo do Campo Lane","","Sungai Petani","84804","Malaysia","Yes","119.72"
"Charlie","Bess","charlie.bess@sakilacustomer.org","362 Rajkot Lane","","Baiyin","98030","China","Yes","110.76"
"Charlotte","Hunter","charlotte.hunter@sakilacustomer.org","758 Junan Lane","","guas Lindas de Gois","82639","Brazil","Yes","87.78"
"Cheryl","Murphy","cheryl.murphy@sakilacustomer.org","1213 Ranchi Parkway","","Mysore","94352","India","Yes","119.76"
"Chester","Benner","chester.benner@sakilacustomer.org","1574 Goinia Boulevard","","Suihua","39529","China","Yes","92.78"
"Chris","Brothers","chris.brothers@sakilacustomer.org","331 Bydgoszcz Parkway","","Gijn","966","Spain","Yes","77.80"
"Christian","Jung","christian.jung@sakilacustomer.org","949 Allende Lane","","Amroha","67521","India","No","81.78"
"Christina","Ramirez","christina.ramirez@sakilacustomer.org","1124 Buenaventura Drive","","al-Hawiya","6856","Saudi Arabia","Yes","75.83"
"Christine","Roberts","christine.roberts@sakilacustomer.org","1447 Imus Way","","Faaa","48942","French Polynesia","Yes","89.78"
"Christopher","Greco","christopher.greco@sakilacustomer.org","1224 Huejutla de Reyes Boulevard","","Brescia","70923","Italy","Yes","113.75"
"Christy","Vargas","christy.vargas@sakilacustomer.org","1158 Mandi Bahauddin Parkway","","Datong","98484","China","Yes","113.70"
"Cindy","Fisher","cindy.fisher@sakilacustomer.org","1079 Tel Aviv-Jaffa Boulevard","","Cuman","10885","Venezuela","Yes","111.73"
"Clara","Shaw","clara.shaw@sakilacustomer.org","1027 Songkhla Manor","","Molodetno","30861","Belarus","Yes","189.60"
"Clarence","Gamez","clarence.gamez@sakilacustomer.org","767 Pyongyang Drive","","Izumisano","83536","Japan","Yes","79.75"
"Claude","Herzog","claude.herzog@sakilacustomer.org","486 Ondo Parkway","","Benguela","35202","Angola","Yes","93.80"
"Claudia","Fuller","claudia.fuller@sakilacustomer.org","346 Skikda Parkway","","Jalib al-Shuyukh","90628","Kuwait","Yes","106.75"
"Clayton","Barbee","clayton.barbee@sakilacustomer.org","1407 Pachuca de Soto Place","","Alvorada","26284","Brazil","Yes","75.79"
"Clifford","Bowens","clifford.bowens@sakilacustomer.org","207 Cuernavaca Loop","","Nabereznyje Telny","52671","Russian Federation","Yes","109.73"
"Clifton","Malcolm","clifton.malcolm@sakilacustomer.org","1489 Kakamigahara Lane","","Tanshui","98883","Taiwan","Yes","111.74"
"Clinton","Buford","clinton.buford@sakilacustomer.org","43 Vilnius Manor","","Aurora","79814","United States","Yes","98.76"
"Clyde","Tobias","clyde.tobias@sakilacustomer.org","1909 Dayton Avenue","","Shaoguan","88513","China","Yes","112.72"
"Cody","Nolen","cody.nolen@sakilacustomer.org","1715 Okayama Street","","So Bernardo do Campo","55676","Brazil","Yes","92.80"
"Colleen","Burton","colleen.burton@sakilacustomer.org","430 Alessandria Loop","","Saarbrcken","47446","Germany","Yes","78.78"
"Connie","Wallace","connie.wallace@sakilacustomer.org","1867 San Juan Bautista Tuxtepec Avenue","","Ivanovo","78311","Russian Federation","Yes","95.79"
"Constance","Reid","constance.reid@sakilacustomer.org","885 Yingkou Manor","","Zaria","31390","Nigeria","Yes","86.77"
"Corey","Hauser","corey.hauser@sakilacustomer.org","984 Novoterkassk Loop","","Gaziantep","28165","Turkey","Yes","83.81"
"Cory","Meehan","cory.meehan@sakilacustomer.org","556 Asuncin Way","","Mogiljov","35364","Belarus","Yes","81.76"
"Courtney","Day","courtney.day@sakilacustomer.org","300 Junan Street","","Uijongbu","81314","South Korea","Yes","103.74"
"Craig","Morrell","craig.morrell@sakilacustomer.org","717 Changzhou Lane","","Cavite","21615","Philippines","Yes","114.72"
"Crystal","Ford","crystal.ford@sakilacustomer.org","659 Vaduz Drive","","Ashdod","49708","Israel","Yes","129.70"
"Curtis","Irby","curtis.irby@sakilacustomer.org","432 Garden Grove Street","","Richmond Hill","65630","Canada","Yes","167.62"
"Cynthia","Young","cynthia.young@sakilacustomer.org","1425 Shikarpur Manor","","Munger (Monghyr)","65599","India","Yes","105.70"
"Daisy","Bates","daisy.bates@sakilacustomer.org","661 Chisinau Lane","","Kolpino","8856","Russian Federation","Yes","125.72"
"Dale","Ratcliff","dale.ratcliff@sakilacustomer.org","1639 Saarbrcken Drive","","Rustenburg","9827","South Africa","Yes","104.74"
"Dan","Paine","dan.paine@sakilacustomer.org","808 Naala-Porto Parkway","","Stockport","41060","United Kingdom","Yes","106.79"
"Dana","Hart","dana.hart@sakilacustomer.org","1089 Iwatsuki Avenue","","Kirovo-Tepetsk","35109","Russian Federation","Yes","120.74"
"Daniel","Cabral","daniel.cabral@sakilacustomer.org","543 Bergamo Avenue","","Ibirit","59686","Brazil","Yes","68.87"
"Danielle","Daniels","danielle.daniels@sakilacustomer.org","781 Shimonoseki Drive","","Hidalgo","95444","Mexico","Yes","94.78"
"Danny","Isom","danny.isom@sakilacustomer.org","734 Bchar Place","","Okara","30586","Pakistan","Yes","73.82"
"Darlene","Rose","darlene.rose@sakilacustomer.org","1386 Nakhon Sawan Boulevard","","Pyongyang","53502","North Korea","Yes","107.71"
"Darrell","Power","darrell.power@sakilacustomer.org","1844 Usak Avenue","","Halifax","84461","Canada","Yes","89.76"
"Darren","Windham","darren.windham@sakilacustomer.org","379 Lublin Parkway","","Livorno","74568","Italy","Yes","95.78"
"Darryl","Ashcraft","darryl.ashcraft@sakilacustomer.org","166 Jinchang Street","","Ezeiza","86760","Argentina","Yes","75.78"
"Daryl","Larue","daryl.larue@sakilacustomer.org","1208 Tama Loop","","Mosul","73605","Iraq","Yes","111.73"
"Dave","Gardiner","dave.gardiner@sakilacustomer.org","1052 Pathankot Avenue","","Leshan","77397","China","Yes","113.73"
"David","Royal","david.royal@sakilacustomer.org","827 Yuncheng Drive","","Callao","79047","Peru","Yes","79.81"
"Dawn","Sullivan","dawn.sullivan@sakilacustomer.org","454 Nakhon Sawan Boulevard","","Funafuti","76383","Tuvalu","Yes","93.78"
"Dean","Sauer","dean.sauer@sakilacustomer.org","270 Tambaram Parkway","","Johannesburg","9668","South Africa","Yes","106.74"
"Deanna","Byrd","deanna.byrd@sakilacustomer.org","862 Xintai Lane","","Tuguegarao","30065","Philippines","Yes","90.78"
"Debbie","Reyes","debbie.reyes@sakilacustomer.org","928 Jaffna Loop","","Fukuyama","93762","Japan","Yes","127.69"
"Deborah","Walker","deborah.walker@sakilacustomer.org","934 San Felipe de Puerto Plata Street","","Shikarpur","99780","Pakistan","Yes","104.73"
"Debra","Nelson","debra.nelson@sakilacustomer.org","306 Antofagasta Place","","Vila Velha","3989","Brazil","Yes","141.71"
"Delores","Hansen","delores.hansen@sakilacustomer.org","810 Palghat (Palakkad) Boulevard","","Jaroslavl","73431","Russian Federation","Yes","71.84"
"Denise","Kelly","denise.kelly@sakilacustomer.org","1206 Dos Quebradas Place","","Rio Claro","20207","Brazil","Yes","96.74"
"Dennis","Gilman","dennis.gilman@sakilacustomer.org","1443 Mardan Street","","Paarl","31483","South Africa","Yes","78.80"
"Derek","Blakely","derek.blakely@sakilacustomer.org","118 Jaffna Loop","","Gingoog","10447","Philippines","Yes","90.73"
"Derrick","Bourque","derrick.bourque@sakilacustomer.org","1153 Allende Way","","Gatineau","20336","Canada","Yes","87.80"
"Diana","Alexander","diana.alexander@sakilacustomer.org","1308 Arecibo Way","","Augusta-Richmond County","30695","United States","Yes","105.73"
"Diane","Collins","diane.collins@sakilacustomer.org","115 Hidalgo Parkway","","Omdurman","80168","Sudan","Yes","144.70"
"Dianne","Shelton","dianne.shelton@sakilacustomer.org","600 Bradford Street","","Tabriz","96204","Iran","Yes","114.76"
"Dolores","Wagner","dolores.wagner@sakilacustomer.org","316 Uruapan Street","","Ipoh","58194","Malaysia","Yes","104.75"
"Don","Bone","don.bone@sakilacustomer.org","596 Huixquilucan Place","","Naala-Porto","65892","Mozambique","Yes","113.77"
"Donald","Mahon","donald.mahon@sakilacustomer.org","1774 Yaound Place","","Ezhou","91400","China","Yes","63.84"
"Donna","Thompson","donna.thompson@sakilacustomer.org","270 Toulon Boulevard","","Elista","81766","Russian Federation","Yes","87.82"
"Dora","Medina","dora.medina@sakilacustomer.org","1760 Oshawa Manor","","Tianjin","38140","China","Yes","88.81"
"Doris","Reed","doris.reed@sakilacustomer.org","1697 Kowloon and New Kowloon Loop","","Balaiha","57807","Russian Federation","Yes","84.81"
"Dorothy","Taylor","dorothy.taylor@sakilacustomer.org","1531 Sal Drive","","Esfahan","53628","Iran","Yes","94.76"
"Douglas","Graf","douglas.graf@sakilacustomer.org","785 Vaduz Street","","Mexicali","36170","Mexico","Yes","106.77"
"Duane","Tubbs","duane.tubbs@sakilacustomer.org","962 Tama Loop","","Yangor","65952","Nauru","Yes","143.70"
"Dustin","Gillette","dustin.gillette@sakilacustomer.org","1854 Okara Boulevard","","Emmen","42123","Netherlands","Yes","92.75"
"Dwayne","Olvera","dwayne.olvera@sakilacustomer.org","1447 Imus Place","","Rajkot","12905","India","Yes","95.80"
"Dwight","Lombardi","dwight.lombardi@sakilacustomer.org","1497 Fengshan Drive","","Chatsworth","63022","South Africa","Yes","74.83"
"Earl","Shanks","earl.shanks@sakilacustomer.org","168 Cianjur Manor","","Iwatsuki","73824","Japan","Yes","105.74"
"Eddie","Tomlin","eddie.tomlin@sakilacustomer.org","1351 Aparecida de Goinia Parkway","","Ozamis","41775","Philippines","Yes","122.74"
"Edgar","Rhoads","edgar.rhoads@sakilacustomer.org","1269 Ipoh Avenue","","Eskisehir","54674","Turkey","Yes","89.77"
"Edith","Mcdonald","edith.mcdonald@sakilacustomer.org","1967 Sincelejo Place","","Gandhinagar","73644","India","Yes","69.83"
"Edna","West","edna.west@sakilacustomer.org","682 Junan Way","","Klerksdorp","30418","South Africa","Yes","79.81"
"Eduardo","Hiatt","eduardo.hiatt@sakilacustomer.org","1837 Kaduna Parkway","","Jining","82580","China","Yes","108.77"
"Edward","Baugh","edward.baugh@sakilacustomer.org","1359 Zhoushan Parkway","","Trshavn","29763","Faroe Islands","Yes","96.76"
"Edwin","Burk","edwin.burk@sakilacustomer.org","1766 Almirante Brown Street","","Newcastle","63104","South Africa","Yes","93.80"
"Eileen","Carr","eileen.carr@sakilacustomer.org","1679 Antofagasta Street","","Ciudad del Este","86599","Paraguay","Yes","80.82"
"Elaine","Stevens","elaine.stevens@sakilacustomer.org","801 Hagonoy Drive","","Smolensk","8439","Russian Federation","Yes","105.78"
"Eleanor","Hunt","eleanor.hunt@sakilacustomer.org","1952 Pune Lane","","Saint-Denis","92150","Runion","Yes","211.55"
"Elizabeth","Brown","elizabeth.brown@sakilacustomer.org","53 Idfu Parkway","","Nantou","42399","Taiwan","Yes","134.65"
"Ella","Oliver","ella.oliver@sakilacustomer.org","751 Lima Loop","","Aden","99405","Yemen","Yes","134.70"
"Ellen","Simpson","ellen.simpson@sakilacustomer.org","1666 Qomsheh Drive","","Po","66255","Brazil","Yes","102.75"
"Elmer","Noe","elmer.noe@sakilacustomer.org","1768 Udine Loop","","Battambang","32347","Cambodia","Yes","92.76"
"Elsie","Kelley","elsie.kelley@sakilacustomer.org","955 Bamenda Way","","Ikerre","1545","Nigeria","Yes","124.68"
"Emily","Diaz","emily.diaz@sakilacustomer.org","588 Vila Velha Manor","","Kimchon","51540","South Korea","Yes","90.77"
"Emma","Boyd","emma.boyd@sakilacustomer.org","765 Southampton Drive","","Qalyub","4285","Egypt","Yes","77.81"
"Enrique","Forsythe","enrique.forsythe@sakilacustomer.org","1101 Bucuresti Boulevard","","Patras","97661","Greece","Yes","73.78"
"Eric","Robert","eric.robert@sakilacustomer.org","430 Kumbakonam Drive","","Santa F","28814","Argentina","Yes","105.78"
"Erica","Matthews","erica.matthews@sakilacustomer.org","1294 Firozabad Drive","","Pingxiang","70618","China","No","86.80"
"Erik","Guillen","erik.guillen@sakilacustomer.org","635 Brest Manor","","Bhimavaram","40899","India","Yes","115.72"
"Erika","Pena","erika.pena@sakilacustomer.org","898 Jining Lane","","Oulu","40070","Finland","Yes","78.79"
"Erin","Dunn","erin.dunn@sakilacustomer.org","1623 Baha Blanca Manor","","Ljubertsy","81511","Russian Federation","Yes","106.73"
"Ernest","Stepp","ernest.stepp@sakilacustomer.org","500 Lincoln Parkway","","Huaian","95509","China","Yes","77.79"
"Esther","Crawford","esther.crawford@sakilacustomer.org","898 Belm Manor","","Botshabelo","49757","South Africa","Yes","95.72"
"Ethel","Webb","ethel.webb@sakilacustomer.org","569 Baicheng Lane","","Boksburg","60304","South Africa","Yes","131.69"
"Eugene","Culpepper","eugene.culpepper@sakilacustomer.org","686 Donostia-San Sebastin Lane","","Shenzhen","97390","China","Yes","70.82"
"Eva","Ramos","eva.ramos@sakilacustomer.org","1666 Beni-Mellal Place","","Clarksville","13377","United States","Yes","83.82"
"Evelyn","Morgan","evelyn.morgan@sakilacustomer.org","943 Tokat Street","","Vaduz","45428","Liechtenstein","Yes","99.74"
"Everett","Banda","everett.banda@sakilacustomer.org","1741 Hoshiarpur Boulevard","","Bilbays","22372","Egypt","Yes","110.72"
"Felicia","Sutton","felicia.sutton@sakilacustomer.org","226 Halifax Street","","Korla","58492","China","Yes","68.77"
"Felix","Gaffney","felix.gaffney@sakilacustomer.org","1059 Yuncheng Avenue","","Vilnius","47498","Lithuania","Yes","63.78"
"Fernando","Churchill","fernando.churchill@sakilacustomer.org","193 Bhusawal Place","","Tonghae","9750","South Korea","Yes","109.77"
"Florence","Woods","florence.woods@sakilacustomer.org","1532 Dzerzinsk Way","","Merlo","9599","Argentina","Yes","114.72"
"Floyd","Gandy","floyd.gandy@sakilacustomer.org","1088 Ibirit Place","","Zapopan","88502","Mexico","Yes","68.84"
"Frances","Parker","frances.parker@sakilacustomer.org","686 Garland Manor","","Juazeiro do Norte","52535","Brazil","Yes","92.81"
"Francis","Sikes","francis.sikes@sakilacustomer.org","355 Vitria de Santo Anto Way","","San Juan Bautista Tuxtepec","81758","Mexico","Yes","98.75"
"Francisco","Skidmore","francisco.skidmore@sakilacustomer.org","614 Denizli Parkway","","So Leopoldo","29444","Brazil","Yes","93.79"
"Frank","Waggoner","frank.waggoner@sakilacustomer.org","1816 Bydgoszcz Loop","","Jamalpur","64308","Bangladesh","Yes","98.77"
"Franklin","Troutman","franklin.troutman@sakilacustomer.org","1778 Gijn Manor","","Zaoyang","35156","China","Yes","69.79"
"Fred","Wheat","fred.wheat@sakilacustomer.org","433 Florencia Street","","Jurez","91330","Mexico","Yes","69.79"
"Freddie","Duggan","freddie.duggan@sakilacustomer.org","1103 Quilmes Boulevard","","Sullana","52137","Peru","Yes","87.77"
"Frederick","Isbell","frederick.isbell@sakilacustomer.org","1404 Taguig Drive","","Tsuyama","87212","Japan","Yes","78.84"
"Gabriel","Harder","gabriel.harder@sakilacustomer.org","680 A Corua (La Corua) Manor","","Sivas","49806","Turkey","Yes","108.75"
"Gail","Knight","gail.knight@sakilacustomer.org","185 Novi Sad Place","","Bern","41778","Switzerland","Yes","106.76"
"Gary","Coy","gary.coy@sakilacustomer.org","867 Benin City Avenue","","Yuzhou","78543","China","Yes","95.78"
"Gene","Sanborn","gene.sanborn@sakilacustomer.org","1416 San Juan Bautista Tuxtepec Avenue","","Salala","50592","Oman","Yes","82.76"
"George","Linton","george.linton@sakilacustomer.org","1957 Yantai Lane","","Sorocaba","59255","Brazil","Yes","113.71"
"Georgia","Jacobs","georgia.jacobs@sakilacustomer.org","954 Kimchon Place","","Uttarpara-Kotrung","42420","India","Yes","88.77"
"Gerald","Fultz","gerald.fultz@sakilacustomer.org","45 Aparecida de Goinia Place","","Satna","7431","India","Yes","116.71"
"Geraldine","Perkins","geraldine.perkins@sakilacustomer.org","97 Shimoga Avenue","","Tel Aviv-Jaffa","44660","Israel","Yes","94.76"
